"","domain","phylum","class","order","family","genus","species","strain"
"GUT_GENOME000558.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_D","Enterococcus_D gallinarum","Enterococcus_D gallinarum"
"GUT_GENOME017795.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus_17"
"GUT_GENOME142628.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides chinchillae","Parabacteroides chinchillae"
"GUT_GENOME116897.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum sp002492595","Muribaculum sp002492595"
"GUT_GENOME141496.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","Enterococcus_B faecium","Enterococcus_B faecium"
"GUT_GENOME254905.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1484","Unknown_UMGS1484","UMGS1484 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_8_1508.122.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","UBA644","UBA644","Unknown_UBA644_1","UBA644 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.113.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA5026","Unknown_UBA5026","UBA5026 sp._11"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_I_12_1518.110.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1491","Unknown_UMGS1491","UMGS1491 sp._7"
"GUT_GENOME114602.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","QAKW01","QAKW01","QAKW01 sp003343605","QAKW01 sp003343605"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_2_1112.245.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","DTU072","CAG-1782","CAG-1782 sp002349735","CAG-1782 sp002349735"
"GUT_GENOME096057.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri","Limosilactobacillus reuteri"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.183.fa","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Oxalobacter","Unknown_Oxalobacter","Oxalobacter sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_14_1852.29.fa","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Unknown_Veillonella","Veillonella sp._7"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_23_2656.36.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Unknown_Dorea","Dorea sp._2"
"GUT_GENOME001270.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A sp003477525","Blautia_A sp003477525"
"GUT_GENOME009639.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._57"
"GUT_GENOME284858.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","UBA7173 sp900545955","UBA7173 sp900545955"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_H_8_1596.67.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._58"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_7_RAU0027AZ.302.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA3631","Unknown_UBA3631","UBA3631 sp._2"
"GUT_GENOME278546.fna","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","CAG-312","CAG-312","Unknown_CAG-312_1","CAG-312 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_8_1202.307.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-353","Unknown_CAG-353","CAG-353 sp._1"
"GUT_GENOME000634.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7160","Unknown_UBA7160","UBA7160 sp."
"GUT_GENOME000677.fna","Bacteria","Firmicutes","Bacilli","Haloplasmatales","Turicibacteraceae","Turicibacter","Turicibacter sanguinis","Turicibacter sanguinis"
"GUT_GENOME000724.fna","Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium saudiense","Clostridium saudiense"
"GUT_GENOME008455.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus_18"
"GUT_GENOME076202.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter kobei","Enterobacter kobei"
"GUT_GENOME077606.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Haemophilus_A","Haemophilus_A sputorum","Haemophilus_A sputorum"
"GUT_GENOME096295.fna","Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium celatum","Clostridium celatum"
"GUT_GENOME096298.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Phytobacter","Phytobacter massiliensis","Phytobacter massiliensis"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_23_1564.145.fa","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae_J","Enterobacter cloacae_J"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_7_1773.232.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unknown_Blautia_A","Blautia_A sp._14"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_21_RAJ1012YZ.15.fa","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Intestinibacter","Intestinibacter sp900540355","Intestinibacter sp900540355"
"GUT_GENOME000818.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter_A","Mediterraneibacter_A butyricigenes","Mediterraneibacter_A butyricigenes"
"GUT_GENOME104392.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Unknown_Eubacterium_F","Eubacterium_F sp._4"
"REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber_I_11_1003.234.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","QAND01","QAND01","QAND01 sp003150225","QAND01 sp003150225"
"GUT_GENOME149253.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella_A","Hungatella_A sp003478355","Hungatella_A sp003478355"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_P_16_2361.45.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unknown_Blautia_A","Blautia_A sp._15"
"GUT_GENOME235747.fna","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas_C","Selenomonas_C bovis","Selenomonas_C bovis"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_12_1819.285.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","Unknown_CAG-1000","Unknown_CAG-1000_2","CAG-1000 unk genus_7"
"GUT_GENOME001315.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","AM07-15","AM07-15 sp003477405","AM07-15 sp003477405"
"GUT_GENOME096031.fna","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium animalis","Fusobacterium animalis"
"GUT_GENOME179059.fna","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia","Slackia exigua","Slackia exigua"
"GUT_GENOME263087.fna","Bacteria","Firmicutes_A","Clostridia","Tissierellales","Helcococcaceae","Parvimonas","Parvimonas micra","Parvimonas micra"
"GUT_GENOME266481.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus constellatus","Streptococcus constellatus"
"GUT_GENOME283193.fna","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus stomatis","Peptostreptococcus stomatis"
"GUT_GENOME001052.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea sp000433215","Dorea sp000433215"
"GUT_GENOME089515.fna","Bacteria","Firmicutes_B","Peptococcia","Peptococcales","Peptococcaceae","UMGS1590","Unknown_UMGS1590","UMGS1590 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_6_1150.86.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Unknown_Fusicatenibacter","Fusicatenibacter sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_3_2141.98.fa","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Unknown_Collinsella","Collinsella sp._6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_H_9_1235.7.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Unknown_Eubacterium_R","Eubacterium_R sp._3"
"GUT_GENOME010067.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Unknown_Oscillibacter","Oscillibacter sp._10"
"GUT_GENOME066135.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus garvieae_B","Lactococcus garvieae_B"
"GUT_GENOME117334.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unknown_Intestinimonas","Intestinimonas sp."
"GUT_GENOME158155.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter sp900548505","Oscillibacter sp900548505"
"GUT_GENOME167061.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas sp900538385","Porphyromonas sp900538385"
"GUT_GENOME244383.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900548585","Prevotella sp900548585"
"GUT_GENOME000250.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes sp900066705","Anaerostipes sp900066705"
"GUT_GENOME000205.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A sp900066505","Blautia_A sp900066505"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_7_RAU0027AZ.182.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA11517","Unknown_UBA11517","UBA11517 sp._3"
"GUT_GENOME047123.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp900549845","Veillonella sp900549845"
"GUT_GENOME171683.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp900552715","Veillonella sp900552715"
"GUT_GENOME176633.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella_A","Klebsiella_A michiganensis","Klebsiella_A michiganensis"
"GUT_GENOME115654.fna","Bacteria","Firmicutes","Bacilli","ML615J-28","CAG-313","UMGS75","Unknown_UMGS75","UMGS75 sp._1"
"GUT_GENOME133961.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","CAG-475 sp900549225","CAG-475 sp900549225"
"GUT_GENOME265007.fna","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Coprobacillus","Coprobacillus cateniformis","Coprobacillus cateniformis"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.189.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","Unknown_Borkfalkiaceae","Unknown_Borkfalkiaceae","Borkfalkiaceae unk genus_11"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_16_2189.52.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1394","Unknown_UBA1394","UBA1394 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_O_22_1935.120.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA791","Unknown_UBA791","UBA791 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_21_2150.158.fa","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1174","UBA1174 sp900556855","UBA1174 sp900556855"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_21_2150.205.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-1000","Unknown_CAG-1000_1","CAG-1000 sp._9"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_5_2673.151.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","Unknown_CAG-115","CAG-115 sp._11"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_13_2496.212.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-45","Unknown_CAG-45","CAG-45 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.310.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-492","Unknown_CAG-492","CAG-492 sp._3"
"GUT_GENOME238494.fna","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella sp900552565","Mitsuokella sp900552565"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_5_1522.107.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._59"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_24_1920.425.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unknown_Acutalibacteraceae","Unknown_Acutalibacteraceae","Acutalibacteraceae unk genus_13"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_16_2338.43.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._60"
"REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber-Hadza-Nepal_C_23_7024.63.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._61"
"GUT_GENOME256840.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1858","Unknown_UMGS1858","UMGS1858 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_23_2677.134.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-Feb","Unknown_14-Feb","14-2 sp."
"GUT_GENOME221775.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unknown_Oscillospiraceae","Unknown_Oscillospiraceae","Oscillospiraceae unk genus_19"
"GUT_GENOME258721.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Unknown_Parabacteroides","Parabacteroides sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_L_13_1278.65.fa","Bacteria","Spirochaetota","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira","Unknown_Brachyspira","Brachyspira sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_7_CHE0004BZ.149.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","CAG-485 sp900550645","CAG-485 sp900550645"
"GUT_GENOME139647.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA5578","UBA5578 sp900553395","UBA5578 sp900553395"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_14_1915.199.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._62"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_9_2646.190.fa","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","UBA3637","Unknown_UBA3637","Unknown_UBA3637","UBA3637 unk genus_1"
"GUT_GENOME001586.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii","Streptococcus gordonii"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_1_1731.131.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unknown_Acutalibacteraceae","Unknown_Acutalibacteraceae","Acutalibacteraceae unk genus_14"
"GUT_GENOME103849.fna","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Erysipelatoclostridium spiroforme","Erysipelatoclostridium spiroforme"
"GUT_GENOME133541.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola sp002493165","Phocaeicola sp002493165"
"GUT_GENOME000554.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides clarus","Bacteroides clarus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_J_1_RAJ1015YZ.225.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unknown_Acutalibacteraceae","Unknown_Acutalibacteraceae","Acutalibacteraceae unk genus_15"
"GUT_GENOME075103.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister","Dialister sp900343095","Dialister sp900343095"
"GUT_GENOME169909.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister","Dialister sp900547785","Dialister sp900547785"
"GUT_GENOME019327.fna","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Actinomycetaceae","Arcanobacterium_A","Unknown_Arcanobacterium_A","Arcanobacterium_A sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_C_9_1537.48.fa","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","Unknown_Rs-D84_1","Rs-D84 sp._1"
"GUT_GENOME037528.fna","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","CAG-306","CAG-306 sp000980375","CAG-306 sp000980375"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.275.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA11490","Unknown_UBA11490","UBA11490 sp._9"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_3_2652.73.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Marvinbryantia sp900544685","Marvinbryantia sp900544685"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_17_CHE1007SZ.43.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA4636","Unknown_UBA4636","UBA4636 sp._8"
"GUT_GENOME009144.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","GCA-900066995","Unknown_GCA-900066995","GCA-900066995 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_G_5_2395.36.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unknown_CAG-110","CAG-110 sp._29"
"GUT_GENOME157119.fna","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-977","UBA11549","Unknown_UBA11549","UBA11549 sp."
"GUT_GENOME213244.fna","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","CAG-312","CAG-312","Unknown_CAG-312_1","CAG-312 sp._3"
"GUT_GENOME254943.fna","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","CAG-312","CAG-312","Unknown_CAG-312_1","CAG-312 sp._4"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.298.fa","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","Unknown_CAG-495","CAG-495 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.90.fa","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","UBA9783","UBA1183","Unknown_UBA1183","UBA1183 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_17_1504.229.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Unknown_Acetatifactor","Acetatifactor sp._10"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_E_21_2379.126.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA4626","Unknown_UBA4626","UBA4626 sp._4"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_12_1112.124.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Unknown_Agathobacter","Agathobacter sp._4"
"GUT_GENOME017597.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-279","CAG-279 sp900544305","CAG-279 sp900544305"
"GUT_GENOME095979.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola","Phocaeicola coprocola"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_23_1587.145.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UBA3789","Unknown_UBA3789","UBA3789 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_21_CHE1011TZ.23.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","Unknown_CAG-508","Unknown_CAG-508","CAG-508 unk genus_12"
"GUT_GENOME019121.fna","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Unknown_Victivallis","Victivallis sp."
"GUT_GENOME251867.fna","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","CAG-312","CAG-312","CAG-312 sp900545715","CAG-312 sp900545715"
"GUT_GENOME153591.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","CAG-274","CAG-274","CAG-274 sp900545305","CAG-274 sp900545305"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_6_2233.289.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unknown_Mediterraneibacter","Mediterraneibacter sp._1"
"GUT_GENOME063091.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia sp900548205","Roseburia sp900548205"
"GUT_GENOME277092.fna","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-977","UBA2903","UBA2903 sp002349565","UBA2903 sp002349565"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_19_1543.56.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Christensenellaceae","Unknown_Christensenellaceae","Unknown_Christensenellaceae","Christensenellaceae unk genus_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_J_9_1249.200.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UBA11517","Unknown_UBA11517","UBA11517 sp._4"
